iter	Passed	Remaining
0	142	142083
1	145	72507
2	147	49087
3	150	37383
4	153	30565
5	156	25989
6	159	22603
7	161	20006
8	163	17961
9	165	16417
10	168	15117
11	170	14045
12	172	13127
13	174	12267
14	175	11522
15	176	10869
16	179	10402
17	182	9955
18	184	9511
19	185	9087
20	186	8687
21	187	8334
22	188	7995
23	189	7697
24	190	7410
25	190	7149
26	192	6927
27	193	6716
28	194	6511
29	195	6319
30	196	6155
31	198	5994
32	199	5833
33	199	5678
34	200	5527
35	201	5387
36	201	5252
37	202	5125
38	203	5002
39	203	4886
40	204	4778
41	205	4676
42	205	4580
43	206	4486
44	207	4395
45	207	4307
46	208	4222
47	208	4140
48	209	4061
49	209	3987
50	210	3918
51	211	3852
52	211	3786
53	212	3721
54	212	3658
55	213	3598
56	213	3539
57	214	3482
58	214	3427
59	215	3373
60	215	3322
61	216	3271
62	216	3223
63	217	3176
64	217	3130
65	218	3086
66	218	3044
67	219	3003
68	219	2963
69	220	2924
70	220	2886
71	221	2848
72	221	2812
73	221	2777
74	222	2743
75	223	2711
76	223	2680
77	224	2648
78	224	2621
79	225	2594
80	226	2569
81	227	2541
82	227	2510
83	227	2483
84	228	2456
85	228	2429
86	229	2403
87	229	2378
88	229	2354
89	230	2329
90	230	2306
91	231	2283
92	231	2262
93	232	2241
94	233	2220
95	233	2199
96	234	2179
97	234	2159
98	235	2139
99	235	2120
100	236	2100
101	236	2082
102	236	2063
103	247	2132
104	248	2115
105	248	2098
106	249	2081
107	250	2065
108	251	2052
109	251	2036
110	252	2020
111	252	2003
112	253	1987
113	253	1971
114	254	1955
115	254	1940
116	254	1924
117	255	1909
118	255	1894
119	256	1881
120	257	1867
121	257	1854
122	258	1841
123	258	1829
124	259	1816
125	259	1803
126	260	1790
127	260	1777
128	261	1765
129	261	1753
130	262	1741
131	263	1730
132	263	1719
133	264	1708
134	265	1697
135	265	1686
136	265	1675
137	266	1664
138	266	1653
139	267	1642
140	267	1631
141	268	1620
142	268	1609
143	269	1599
144	269	1589
145	270	1579
146	270	1571
147	271	1562
148	272	1554
149	272	1545
150	273	1537
151	274	1529
152	274	1520
153	275	1511
154	275	1502
155	276	1493
156	276	1485
157	277	1476
158	277	1468
159	278	1460
160	278	1451
161	279	1443
162	279	1435
163	280	1427
164	280	1419
165	281	1411
166	281	1404
167	281	1396
168	282	1388
169	282	1381
170	283	1374
171	283	1366
172	284	1359
173	284	1352
174	285	1345
175	285	1338
176	286	1331
177	287	1325
178	287	1319
179	288	1314
180	289	1308
181	289	1302
182	290	1297
183	291	1291
184	291	1285
185	292	1279
186	293	1273
187	293	1268
188	294	1262
189	294	1256
190	295	1250
191	295	1244
192	296	1239
193	296	1233
194	297	1227
195	298	1222
196	298	1216
197	298	1211
198	299	1205
199	300	1200
200	300	1194
201	301	1189
202	301	1184
203	302	1181
204	303	1176
205	303	1171
206	304	1166
207	305	1162
208	305	1157
209	306	1152
210	306	1147
211	307	1143
212	308	1138
213	308	1133
214	308	1127
215	309	1123
216	309	1118
217	310	1113
218	310	1108
219	311	1104
220	312	1100
221	312	1096
222	313	1091
223	313	1086
224	314	1082
225	314	1078
226	315	1074
227	316	1070
228	316	1066
229	317	1062
230	318	1059
231	319	1056
232	319	1052
233	320	1048
234	320	1044
235	321	1040
236	322	1037
237	322	1033
238	323	1028
239	323	1025
240	324	1021
241	324	1017
242	325	1013
243	325	1009
244	326	1005
245	326	1001
246	327	997
247	327	993
248	328	989
249	328	985
250	329	981
251	329	978
252	330	974
253	330	970
254	330	966
255	331	963
256	331	959
257	332	956
258	333	953
259	334	951
260	334	947
261	335	944
262	335	941
263	336	937
264	336	934
265	337	930
266	337	927
267	338	923
268	338	920
269	339	916
270	339	913
271	340	910
272	340	906
273	340	903
